title,title_entities,account_id,creative_id,body,source,ad_type,cta,landing_page_url,body_entities,spend,text_entities,video_entities,clicks,impressions,externalWebsiteConversions,oneClickLeads,cost_per_lead,cost_per_conversions,ctr,cpc,cpm
Help get your employees cash without selling their shares,"{""shares"": 0.29116723, ""employees cash"": 0.7088328}",508650889,156138876,"Your employees need safe options for their equity and you don't want them to give up their shares. With Quid they:
✅ Receive cash for stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep their shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today!",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/dazefljxueskwbjtmfndzgykxnpbou_3328848936.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+CFO+Visitors&h,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}",18.723876661543127,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}","{""tie"": 0.8635409474372864, ""font"": 0.3613602221012115, ""logo"": 0.4660903811454773, ""song"": 0.611386775970459, ""text"": 0.6875020265579224, ""lyrics"": 0.5236365795135498, ""person"": 0.9822123050689696, ""glasses"": 0.92756849527359, ""business"": 0.3740816116333008, ""graphics"": 0.5665907263755798, ""outerwear"": 0.820716917514801, ""turquoise"": 0.5001655220985413, ""display device"": 0.6442818641662598, ""packaged goods"": 0.5493095517158508}",1.0,229.0,0.0,0.0,0.0,0.0,0.43668122270742354,18.723876661543127,81.76365354385645
Help get your employees cash without selling their shares,"{""shares"": 0.29116723, ""employees cash"": 0.7088328}",508650889,156138906,"Your employees need safe options for their equity and you don't want them to give up their shares. With Quid they:
✅ Receive cash for stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep their shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today!",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/rpbyuglevbjboxkdcdymltkdkwpwfy_8688372696.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+CFO+Visitors&h,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}",17.48747130865681,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}","{""font"": 0.4363444149494171, ""logo"": 0.4660903811454773, ""song"": 0.611386775970459, ""text"": 0.7457489967346191, ""pants"": 0.7825409173965454, ""lyrics"": 0.5214847922325134, ""person"": 0.7796979546546936, ""graphics"": 0.5665907263755798, ""outerwear"": 0.5914945602416992, ""turquoise"": 0.5001655220985413, ""display device"": 0.6341062784194946, ""packaged goods"": 0.609930694103241}",0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,97.15261838142673
Help get your employees cash without selling their shares,"{""shares"": 0.29116723, ""employees cash"": 0.7088328}",508650889,161641376,"Your employees need safe options for their equity and you don't want them to give up their shares. With Quid they:
✅ Receive cash for stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep their shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today!",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/gvkxkbldgqwjnstgbzugbwdvxtjyzv_6017914914.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+CFO+Visitors&h,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}",14.158624968137566,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}","{""top"": 0.7967014312744141, ""font"": 0.3614464402198791, ""logo"": 0.4660903811454773, ""song"": 0.5721096396446228, ""text"": 0.42520982027053833, ""lyrics"": 0.37820813059806824, ""person"": 0.9492291212081908, ""graphics"": 0.382885605096817, ""lighting"": 0.5372248888015747, ""turquoise"": 0.5001655220985413, ""packaged goods"": 0.5587531328201294}",2.0,202.0,0.0,0.0,0.0,0.0,0.9900990099009901,7.079312484068783,70.0922028125622
Smart funds for your employee's shares,"{""funds"": 0.46025702, ""shares"": 0.23506199, ""employee"": 0.304681}",508650889,156138706,"Your employees need safe options for their equity and you don't want them to give up their shares. With Quid they:
✅ Receive cash for stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep their shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today!",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/zwbjbvczxhtfcfhcdugmcegxupnrtl_0568737714.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+CFO+Visitors&h,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}",16.49781780268865,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}","{""font"": 0.4363444149494171, ""logo"": 0.4660903811454773, ""song"": 0.611386775970459, ""text"": 0.7457489967346191, ""pants"": 0.7650662660598755, ""lyrics"": 0.5128728151321411, ""person"": 0.9233683347702026, ""graphics"": 0.602005124092102, ""outerwear"": 0.5854323506355286, ""turquoise"": 0.5001655220985413, ""display device"": 0.650818943977356, ""packaged goods"": 0.5224550366401672}",3.0,266.0,0.0,0.0,0.0,0.0,1.1278195488721803,5.499272600896217,62.02187143867914
Smart funds for your employee's shares,"{""funds"": 0.46025702, ""shares"": 0.23506199, ""employee"": 0.304681}",508650889,156138956,"Your employees need safe options for their equity and you don't want them to give up their shares. With Quid they:
✅ Receive cash for stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep their shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today!",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/cacqhsafncjekdwwwyrbuhvvhzctfj_8268003617.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+CFO+Visitors&h,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}",33.692231804563605,"{""cash"": 0.013456234, ""fees"": 0.012353965, ""funds"": 0.007601222, ""stock"": 0.012353965, ""value"": 0.012353965, ""equity"": 0.09426095, ""shares"": 0.007965798, ""options"": 0.0810872, ""pre-IPO"": 0.0035194901, ""companies"": 0.0037436248, ""employees"": 0.59502983, ""Carta 💳"": 0.0022137058, ""shareholders"": 0.0050160433, ""Uber 🏠 Airbnb"": 0.0050431876, ""Credit Karma 🚙"": 0.0050431876}","{""tie"": 0.8635409474372864, ""font"": 0.3613602221012115, ""logo"": 0.4660903811454773, ""song"": 0.611386775970459, ""text"": 0.6875020265579224, ""lyrics"": 0.5236365795135498, ""person"": 0.9822123050689696, ""glasses"": 0.92756849527359, ""business"": 0.3740816116333008, ""graphics"": 0.5665907263755798, ""outerwear"": 0.8207168579101562, ""turquoise"": 0.5001655220985413, ""display device"": 0.6442816853523254, ""packaged goods"": 0.5493096113204956}",4.0,325.0,0.0,0.0,0.0,0.0,1.2307692307692308,8.423057951140901,103.6684055525034
Get cash for Stripe equity without selling your shares ,"{""cash"": 0.69960195, ""shares"": 0.10155933, ""Stripe equity"": 0.19883871}",508650889,146096626,"Do you own equity or options in Stripe? With Quid you:
✅ Receive cash for your stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep upside in the value of your shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/ruwbeacgiqsridwzdycfeaeklxhktk_4335248930.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_source=linkedin.com&utm_medium=cpc&utm_campaign=Omneky+-+Stripe+Website,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""Stripe"": 0.14637017, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}",26.571330661724804,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""Stripe"": 0.14637017, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}","{""box"": 0.6364176869392395, ""font"": 0.5113801956176758, ""logo"": 0.6909014582633972, ""song"": 0.4890259504318238, ""text"": 0.637944757938385, ""brand"": 0.6055009365081787, ""graphics"": 0.7909472584724426, ""graphic design"": 0.4166466295719147, ""packaged goods"": 0.5116184949874878}",5.0,1183.0,0.0,0.0,0.0,0.0,0.422654268808115,5.314266132344961,22.460972664179884
Get cash for Stripe equity without selling your shares ,"{""cash"": 0.69960195, ""shares"": 0.10155933, ""Stripe equity"": 0.19883871}",508650889,146096796,"Do you own equity or options in Stripe? With Quid you:
✅ Receive cash for your stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep upside in the value of your shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/hvhiqfcwxeylcouxesnaqodveuhxzw_0641835716.mp4,VIDEO,LEARN_MORE,https://www.getquid.com/?utm_source=linkedin.com&utm_medium=cpc&utm_campaign=Omneky+-+Stripe+Website,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""Stripe"": 0.14637017, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}",36.43847199638286,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""Stripe"": 0.14637017, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}","{""box"": 0.6544780731201172, ""tie"": 0.7997928857803345, ""top"": 0.8410669565200806, ""font"": 0.5455341339111328, ""logo"": 0.5606862306594849, ""song"": 0.4058897197246551, ""text"": 0.6725841164588928, ""brand"": 0.6055009365081787, ""laptop"": 0.7349558472633362, ""person"": 0.9973195791244508, ""curtain"": 0.5049436688423157, ""glasses"": 0.9178766012191772, ""graphics"": 0.382885605096817, ""lighting"": 0.5647884607315063, ""furniture"": 0.5013893842697144, ""outerwear"": 0.5416606068611145, ""trademark"": 0.3001115918159485, ""presentation"": 0.38184425234794617, ""graphic design"": 0.562171220779419, ""packaged goods"": 0.7316404581069946, ""computer monitor"": 0.6475000381469727, ""boxed packaged goods"": 0.6646483540534973, ""tubed packaged goods"": 0.6780656576156616}",7.0,1452.0,0.0,0.0,0.0,0.0,0.4820936639118457,5.205495999483266,25.095366388693428
Get cash for your Databricks equity without selling your shares,"{""cash"": 0.6452202, ""equity"": 0.1680118, ""shares"": 0.08443922, ""Databricks"": 0.10232878}",508650889,145119826,"Do you own equity or options in Databricks? With Quid you:
✅ Receive cash for your stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep upside in the value of your shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/dqrujltujzmcjmdykqoqznuebyliww_4283589118.mp4,VIDEO,LEARN_MORE,https://www.getquid.com?utm_source=linkedin.com&utm_medium=cpc&utm_campaign=Omneky+-+Databricks+Webs,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}",68.08200837078483,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}","{""box"": 0.5719240307807922, ""font"": 0.647056519985199, ""logo"": 0.35979312658309937, ""song"": 0.671869158744812, ""text"": 0.8250705599784851, ""brand"": 0.37393784523010254, ""lyrics"": 0.5344560742378235, ""graphics"": 0.382885605096817, ""lighting"": 0.5482489466667175, ""display device"": 0.6549996137619019, ""graphic design"": 0.42500633001327515, ""packaged goods"": 0.6121491193771362}",22.0,1189.0,0.0,0.0,0.0,0.0,1.8502943650126156,3.0946367441265834,57.25988929418405
Get cash for your Databricks equity without selling your shares,"{""cash"": 0.6452202, ""equity"": 0.1680118, ""shares"": 0.08443922, ""Databricks"": 0.10232878}",508650889,161640936,"Do you own equity or options in Databricks? With Quid you:
✅ Receive cash for your stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep upside in the value of your shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/bjcdfcluvoxbachsvucgcdidrpgjqz_2446783838.mp4,VIDEO,LEARN_MORE,https://www.getquid.com?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+Databricks+Webs,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}",12.691529124920411,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}","{""hat"": 0.5725924372673035, ""font"": 0.368117243051529, ""logo"": 0.4660903811454773, ""shoe"": 0.6758372783660889, ""song"": 0.5251517295837402, ""text"": 0.468039333820343, ""lyrics"": 0.33257806301116943, ""graphics"": 0.382885605096817, ""lighting"": 0.5258976221084595, ""turquoise"": 0.5001655220985413, ""sunglasses"": 0.6351253986358643, ""display device"": 0.6261613965034485, ""luggage & bags"": 0.6364748477935791, ""packaged goods"": 0.5587529540061951}",9.0,495.0,0.0,0.0,0.0,0.0,1.8181818181818181,1.4101699027689345,25.63945277761699
Get cash for your Databricks equity without selling your shares,"{""cash"": 0.6452202, ""equity"": 0.1680118, ""shares"": 0.08443922, ""Databricks"": 0.10232878}",508650889,161640996,"Do you own equity or options in Databricks? With Quid you:
✅ Receive cash for your stock’s value 
✅ Pay no fees out-of-pocket 
✅ Keep upside in the value of your shares

We've helped shareholders from the following companies:
📈 Carta
💳 Credit Karma
🚙 Uber
🏠 Airbnb

Find out how to get funds for your pre-IPO shares today",https://omneky.s3.us-east-2.amazonaws.com/linkedin_ads/508650889/hqtrcrgqtohgjrdarxnylqrendkzpw_8500159049.mp4,VIDEO,LEARN_MORE,https://www.getquid.com?utm_medium=cpc&utm_source=linkedin.com&utm_campaign=Omneky+-+Databricks+Webs,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}",11.21008971516729,"{""cash"": 0.05096785, ""fees"": 0.031319585, ""funds"": 0.019512797, ""stock"": 0.031319585, ""value"": 0.033104543, ""equity"": 0.24070245, ""shares"": 0.019045666, ""upside"": 0.028753752, ""options"": 0.24070245, ""pre-IPO"": 0.009036992, ""companies"": 0.009612371, ""Carta 💳"": 0.0056845834, ""Databricks"": 0.14637017, ""shareholders"": 0.03608717, ""Uber 🏠 Airbnb"": 0.012948187, ""Credit Karma 🚙"": 0.012948187}","{""font"": 0.5164077877998352, ""logo"": 0.35979312658309937, ""song"": 0.7949714064598083, ""text"": 0.3608047068119049, ""lyrics"": 0.4741230607032776, ""graphics"": 0.5665907263755798, ""turquoise"": 0.5001655220985413, ""mobile phone"": 0.6334700584411621, ""display device"": 0.6340063214302063, ""packaged goods"": 0.7877401113510132}",5.0,413.0,0.0,0.0,0.0,0.0,1.2106537530266344,2.242017943033458,27.143074370865108
